price,section,ticket_num
$312,Before 3 AM General Admission,1 ticket Instant Download
$312,Anytime General Admission,1 - 4 tickets
$550,Anytime General Admission,1 ticket
$236,GENERAL ADMISSION,1 - 6 tickets Instant Download
$302,General Admission,1 - 4 tickets Instant Download
$352,GENERAL ADMISSION,1 - 2 tickets Instant Download
