price,section,ticket_num
$62,General Admission After 7 AM,1 - 8 tickets
$86,General Admission Before 1 AM,1 - 8 tickets
$100,General Admission Anytime,2 tickets Instant Download
$137,General Admission Anytime,1 - 8 tickets
